1,237,66,1005
2,244,66,1953
3,374,113,1001
4,414,108,1336
5,235,68,1550
6,410,112,525
7,383,129,1392
8,239,64,1571
9,273,70,694
10,430,121,748
11,365,114,1879
12,380,125,1791
13,275,63,968
14,383,111,1379
15,371,119,1313
16,237,69,1086
17,384,112,654
18,241,74,1032
19,405,117,1948
20,253,73,1638
21,395,109,1369
22,418,113,583
23,400,112,1254
24,373,122,721
25,255,76,1135
26,269,75,1126
27,239,68,1767
28,361,119,1507
29,385,111,681
30,372,111,1375
31,373,109,775
32,247,64,1831
33,422,116,971
34,382,108,1188
35,240,64,1207
36,259,68,1523
37,425,127,896
38,384,109,899
39,427,129,1156
40,430,127,1300
41,250,63,1924
42,375,113,513
43,438,131,1519
44,246,68,1465
45,415,128,1123
46,280,77,746
47,252,69,887
48,261,69,731
49,264,73,896
50,234,70,1698
51,245,70,1439
52,429,120,1558
53,270,64,902
54,421,127,855
55,268,63,1243
56,418,131,1944
57,275,70,926
58,409,131,720
59,283,66,1347
60,383,122,778
61,383,112,1500
62,365,112,816
63,362,115,1999
64,424,116,859
65,369,108,572
66,401,113,1864
67,239,72,582
68,393,116,1912
69,247,65,627
70,392,108,1380
71,435,115,989
72,426,123,1856
73,277,75,1861
74,374,114,1626
75,383,123,1518
76,284,67,1465
77,235,75,1960
78,376,108,1037
79,398,126,1558
80,429,120,1046
81,404,128,1647
82,241,65,1118
83,410,127,836
84,374,115,1577
85,254,63,934
86,241,66,1432
87,365,108,1898
88,234,75,1858
89,400,116,512
90,253,76,819
91,273,76,935
92,257,67,643
93,255,66,567
94,392,115,959
95,415,118,1295
96,265,66,933
97,400,116,1874
98,280,75,1128
99,267,66,1560
100,267,66,1075
